Motif;StartMeasure;EndMeasure
Nibelungen;1755.666;1756.666
Nibelungenhass;72.875;73.833
Nibelungenhass;73.875;74.833
Nibelungenhass;74.875;75.833
Nibelungenhass;75.875;76.833
Nibelungenhass;76.875;77.833
Nibelungenhass;77.875;78.833
Nibelungenhass;78.875;79.833
Nibelungenhass;79.875;80.833
Nibelungenhass;80.875;81.833
Nibelungenhass;81.875;82.833
Nibelungenhass;82.875;83.833
Nibelungenhass;83.875;84.833
Nibelungenhass;84.875;85.583
Nibelungenhass;103.916;104.833
Nibelungenhass;104.875;105.833
Nibelungenhass;105.875;106.833
Nibelungenhass;106.875;107.833
Nibelungenhass;107.875;108.833
Nibelungenhass;108.875;109.833
Nibelungenhass;109.875;110.833
Nibelungenhass;110.875;111.833
Nibelungenhass;111.875;112.833
Nibelungenhass;112.875;113.833
Nibelungenhass;161.916;162.833
Nibelungenhass;162.875;163.833
Nibelungenhass;163.875;164.583
Nibelungenhass;164.375;164.999
Nibelungenhass;252.875;253.833
Nibelungenhass;253.875;254.833
Nibelungenhass;254.875;255.833
Nibelungenhass;261.875;262.833
Nibelungenhass;263.875;264.833
Nibelungenhass;267.875;268.833
Nibelungenhass;268.875;269.833
Nibelungenhass;269.875;270.833
Nibelungenhass;270.875;271.833
Nibelungenhass;271.875;272.833
Nibelungenhass;272.875;273.833
Nibelungenhass;273.875;274.833
Nibelungenhass;274.875;275.833
Nibelungenhass;507.875;508.833
Nibelungenhass;509.875;510.833
Nibelungenhass;1099.083;1099.833
Nibelungenhass;1100.083;1100.833
Nibelungenhass;1101.083;1101.833
Nibelungenhass;1102.083;1102.833
Nibelungenhass;1103.083;1103.833
Nibelungenhass;1104.083;1104.833
Nibelungenhass;1105.083;1105.833
Nibelungenhass;1106.083;1106.833
Nibelungenhass;1107.083;1107.833
Nibelungenhass;1108.083;1108.833
Nibelungenhass;1109.083;1109.833
Nibelungenhass;1119.083;1119.833
Nibelungenhass;1120.083;1120.833
Nibelungenhass;1121.083;1121.833
Nibelungenhass;1122.083;1122.833
Nibelungenhass;1123.083;1123.833
Nibelungenhass;1124.083;1124.833
Nibelungenhass;1125.083;1125.833
Nibelungenhass;1143.083;1143.833
Nibelungenhass;1143.875;1144.833
Nibelungenhass;1144.875;1145.833
Nibelungenhass;1145.875;1146.833
Nibelungenhass;1146.875;1147.833
Nibelungenhass;1147.875;1148.833
Nibelungenhass;1148.875;1149.833
Nibelungenhass;1149.875;1150.833
Nibelungenhass;1150.875;1151.833
Riesen;1127;1127.5
Riesen;1127.5;1128.125
Riesen;1129;1129.625
Riesen;1130;1130.625
Riesen;1133;1133.5
Riesen;1133.5;1133.999
Ring;34;36.333
Ring;41;43.333
Ring;81.5;83.625
Ring;83.75;86.25
Ring;274.5;276.875
Ring;276.875;278.999
Ring;426;427.999
Ring;428;429.999
Ring;452;453.166
Ring;1134;1134.75
Ring;1135;1135.75
Ring;1136;1136.875
Ring;1342;1343.888
Ring;1344;1345.888
Ring;1346;1347.888
Ring;1348;1349.888
Ring;1350;1351.888
Ring;1688;1689.999
Ring;1690;1691.999
Ritt;119.333;119.999
Ritt;120.333;120.999
Ritt;121.333;121.999
Ritt;122.333;122.999
Ritt;123.333;123.999
Ritt;124.333;124.999
Ritt;125.333;125.999
Ritt;126.333;126.999
Ritt;127.333;127.999
Ritt;128.333;128.999
Ritt;129.333;129.999
Ritt;130.333;130.999
Ritt;131.333;131.999
Ritt;132.333;132.999
Ritt;133.333;133.999
Ritt;134.333;134.999
Ritt;135.333;135.999
Ritt;136.333;136.999
Ritt;137.333;137.999
Ritt;480.25;480.75
Ritt;481.25;481.75
Ritt;482.25;482.75
Ritt;483.25;483.75
Ritt;484.25;484.75
Ritt;485.25;485.75
Ritt;486.25;486.75
Ritt;487.25;487.75
Ritt;488.25;488.75
Ritt;489.25;489.75
Ritt;490.25;490.75
Ritt;491.25;491.75
Ritt;492.25;492.75
Ritt;493.25;493.75
Ritt;494.25;494.75
Ritt;495.25;495.75
Schwert;307;309.125
Schwert;423.916;424.999
Schwert;474.875;476.25
Schwert;886.833;888.999
Schwert;1004.833;1005.999
Schwert;1050.916;1052.833
Schwert;1087.833;1089.999
Schwert;1142;1143.125
Schwert;1173.875;1175.999
Schwert;1369.888;1371.666
Siegfried;974.833;978.166
Siegfried;978.833;986.166
Siegfried;1112.875;1116.25
Siegfried;1115.75;1118.375
Siegfried;1161.5;1165.125
Siegfried;1846.875;1849.999
Unmuth;319.25;322.75
Vertrag;222;223.999
Vertrag;248.25;251.25
Waberlohe;542;543.625
Waberlohe;545;546.999
Waberlohe;548;549.999
Waberlohe;549;550.625
Waberlohe;550;551.5
Waberlohe;629;630.5
Waberlohe;630;631.25
Waberlohe;631;632.25
Waberlohe;632;633.25
Waberlohe;1851.25;1852.625
Waberlohe;1852;1853.125
Waberlohe;1853;1854.999
Waberlohe;1854;1855.125
Waldweben;714;715.999
Waldweben;716;717.999
Waldweben;726;727.999
Waldweben;728;729.999
Waldweben;730;731.999
Waldweben;732;733.999
Waldweben;734;735.999
Waldweben;736;737.999
Waldweben;738;739.999
Waldweben;740;741.999
Waldweben;742;743.999
Waldweben;744;745.999
Waldweben;746;747.999
Waldweben;748;749.999
Waldweben;764;765.999
Waldweben;766;767.999
Waldweben;768;768.999
Waldweben;769;769.999
Waldweben;770;770.999
Waldweben;771;771.999
Waldweben;772;772.999
Waldweben;773;773.999
Waldweben;779;779.999
Waldweben;780;780.999
Waldweben;781;781.999
Waldweben;782;782.999
Waldweben;783;783.999
Waldweben;784;784.999
Waldweben;785;785.999
Waldweben;831;832.999
Waldweben;833;834.999
Waldweben;835;835.999
Waldweben;836;836.999
Waldweben;837;838.999
Waldweben;839;839.999
Waldweben;840;841.999
Waldweben;842;843.999
Waldweben;844;844.999
Waldweben;845;845.999
Waldweben;846;846.999
Waldweben;847;847.999
Waldweben;848;848.999
Waldweben;849;849.999
Waldweben;850;850.999
Waldweben;851;851.999
Waldweben;852;852.999
Waldweben;853;853.999
Waldweben;854;854.999
Waldweben;855;855.999
Waldweben;857;857.999
Waldweben;858;858.999
Waldweben;859;859.999
Waldweben;860;860.999
Waldweben;861;861.999
Waldweben;862;862.999
Waldweben;863;863.999
Waldweben;864;864.999
Waldweben;865;865.999
Waldweben;866;866.999
Waldweben;867;867.999
Waldweben;923;923.999
Waldweben;924;924.999
Waldweben;925;925.999
Waldweben;926;926.999
Waldweben;927;927.999
Waldweben;928;928.999
Waldweben;929;929.999
Waldweben;930;930.999
Waldweben;931;931.999
Waldweben;932;932.999
Waldweben;933;933.999
Waldweben;934;934.999
Waldweben;1179;1179.999
Waldweben;1180;1180.999
Waldweben;1181;1181.999
Waldweben;1182;1182.999
Waldweben;1183;1183.999
Waldweben;1184;1184.999
Waldweben;1185;1185.999
Waldweben;1186;1186.999
Waldweben;1187;1187.999
Waldweben;1188;1188.999
Waldweben;1189;1189.999
Waldweben;1190;1190.999
Waldweben;1191;1191.999
Waldweben;1192;1192.999
Waldweben;1193;1193.999
Waldweben;1194;1194.999
Waldweben;1195;1195.999
Waldweben;1196;1196.999
Waldweben;1197;1197.999
Waldweben;1198;1198.999
Waldweben;1199;1199.999
Waldweben;1200;1200.999
Waldweben;1201;1201.999
Waldweben;1202;1202.999
Waldweben;1203;1203.999
Waldweben;1204;1204.999
Waldweben;1205;1205.999
Waldweben;1206;1206.999
Waldweben;1207;1207.999
Waldweben;1208;1208.999
Waldweben;1209;1209.999
Waldweben;1210;1210.999
Waldweben;1211;1211.999
Waldweben;1212;1212.999
Waldweben;1213;1213.999
Waldweben;1214;1214.999
Waldweben;1215;1215.999
Waldweben;1376;1376.999
Waldweben;1377;1377.999
Waldweben;1378;1378.999
Waldweben;1379;1379.999
Waldweben;1380;1380.999
Waldweben;1381;1381.999
Waldweben;1382;1382.999
Waldweben;1383;1383.999
Waldweben;1384;1384.999
Waldweben;1385;1385.999
Waldweben;1386;1386.999
Waldweben;1387;1387.999
Waldweben;1388;1388.999
Waldweben;1389;1389.999
Waldweben;1390;1390.999
Waldweben;1391;1391.999
Waldweben;1392;1392.999
Waldweben;1393;1393.999
Waldweben;1394;1394.999
Waldweben;1395;1395.999
Waldweben;1396;1396.999
Waldweben;1397;1397.999
Waldweben;1398;1398.999
Waldweben;1399;1399.999
Waldweben;1400;1400.999
Waldweben;1401;1401.999
Waldweben;1402;1402.999
Waldweben;1403;1403.999
Waldweben;1404;1404.999
Waldweben;1405;1405.999
Waldweben;1406;1406.999
Waldweben;1407;1407.999
Waldweben;1408;1408.999
Waldweben;1409;1409.999
Waldweben;1410;1410.999
Waldweben;1411;1411.999
Waldweben;1793;1794.999
Waldweben;1795;1796.999
Waldweben;1797;1797.999
Waldweben;1798;1798.999
Waldweben;1799;1799.999
Waldweben;1800;1800.999
Waldweben;1801;1801.999
Waldweben;1802;1802.999
Waldweben;1803;1803.999
Waldweben;1804;1804.999
Waldweben;1805;1805.999
Waldweben;1806;1806.999
Waldweben;1807;1807.999
Waldweben;1808;1808.999
Waldweben;1809;1809.999
Waldweben;1824;1824.999
Waldweben;1825;1825.999
Waldweben;1826;1826.999
Waldweben;1827;1827.999
Waldweben;1828;1828.999
Waldweben;1829;1829.999
Waldweben;1830;1830.999
Waldweben;1831;1831.999
Waldweben;1832;1832.999
Waldweben;1833;1833.999
Waldweben;1834;1834.999
Waldweben;1835;1835.999
Waldweben;1836;1836.999
Waldweben;1837;1837.999
Waldweben;1851;1851.999
Waldweben;1852;1852.999
Waldweben;1853;1853.999
Waldweben;1854;1854.999
Waldweben;1855;1855.999
Waldweben;1856;1856.999
Waldweben;1857;1857.999
Waldweben;1858;1858.999
Waldweben;1859;1859.999
